session_id,session_status,year,age,raceomb,sex,att,att_7,country,countrycit,countryres,edu,politicalid,STATE,sexnum,countrycitnum,politics,education,racenum,filter_$,implicit,explicit
5508082,C,2007,21,6,f,4,4,,US,US,5,5,WA,1,0,5,5,6,1,0.8645783643197118,4
5508221,C,2007,19,6,f,3,3,,US,US,5,7,OR,1,0,7,5,6,1,-0.19671213213961025,3
5514909,C,2007,21,6,f,4,4,,US,US,6,NA,FL,1,0,NA,6,6,1,0.8332028774124348,4
5515197,C,2007,47,6,m,4,4,,US,US,6,5,TX,0,0,5,6,6,1,0.2547301377760175,4
5516031,C,2007,18,6,m,4,4,,US,US,3,1,IL,0,0,1,3,6,1,0.15187399211596447,4
5516552,C,2007,20,6,f,4,4,,US,US,5,1,IN,1,0,1,5,6,1,0.5331264567008516,4
5518014,C,2007,29,NA,m,4,4,,US,US,5,6,OH,0,0,6,5,NA,1,-0.29784643496065016,4
5519618,C,2007,27,6,m,5,5,,US,US,7,6,IL,0,0,6,7,6,1,0.6643367643799382,5
5525162,C,2007,22,6,f,5,5,,US,US,5,3,MN,1,0,3,5,6,1,0.5806419924385193,5
5527484,C,2007,58,6,m,6,6,,US,US,12,4,WA,0,0,4,10,6,1,0.07767218711460477,6
5528841,C,2007,30,8,f,4,4,,US,US,5,4,CA,1,0,4,5,8,1,-0.11414777522962388,4
5531600,C,2007,13,NA,f,4,4,,US,US,2,4,WI,1,0,4,2,NA,1,0.5263183860337521,4
5534451,C,2007,NA,9,m,4,4,,US,US,7,4,CA,0,0,4,7,9,1,0.3846424091213814,4
5536302,C,2007,19,6,m,4,4,,US,US,5,6,OH,0,0,6,5,6,1,0.7910065629337533,4
5538673,C,2007,13,6,f,3,3,,US,US,2,4,WI,1,0,4,2,6,1,0.11253273396451549,3
5540763,C,2007,16,6,f,4,4,,US,US,3,4,WA,1,0,4,3,6,1,0.8919952960998416,4
5543659,C,2007,63,6,f,5,5,,US,US,13,6,MN,1,0,6,10,6,1,-0.22930889626947965,5
5547619,C,2007,23,6,m,4,4,,US,US,7,4,GA,0,0,4,7,6,1,0.6379497818861994,4
5552388,C,2007,22,6,m,5,5,,CA,CA,3,4,,0,1,4,3,6,1,0.9142061569384066,5
5557124,C,2007,20,6,m,7,7,,AU,AU,7,4,,0,1,4,7,6,1,0.6611614079449459,7
5560082,C,2007,82,6,f,4,4,,US,US,7,7,NY,1,0,7,7,6,1,0.6665640953122312,4
5567062,C,2007,34,3,m,4,4,,PK,AT,9,5,,0,1,5,9,3,1,-0.49312948664069056,4
5569865,C,2007,26,6,m,4,4,,UK,UK,9,3,,0,1,3,9,6,1,0.14226373298162487,4
5571104,C,2007,36,6,m,5,5,,US,US,7,7,MI,0,0,7,7,6,1,-0.27655094756776416,5
5571153,C,2007,18,6,m,4,4,,US,US,3,7,MD,0,0,7,3,6,1,-0.5100593139756003,4
5571981,C,2007,45,NA,m,4,4,,.,.,NA,NA,,0,NA,NA,NA,NA,1,0.5719665697476909,4
5572666,C,2007,35,6,m,5,5,,UK,UK,13,3,,0,1,3,10,6,1,-0.1834430744100934,5
5581801,C,2007,34,6,m,4,4,,US,US,8,5,MD,0,0,5,8,6,1,0.01643609111126476,4
5588845,C,2007,19,6,f,4,4,,US,US,5,4,VT,1,0,4,5,6,1,0.12014912807727243,4
5589399,C,2007,45,6,m,5,5,,US,US,9,1,PA,0,0,1,9,6,1,0.6245698953446814,5
5589435,C,2007,72,6,m,4,4,,US,US,12,6,ID,0,0,6,10,6,1,0.7298848740275585,4
5590853,C,2007,18,2,m,6,6,,US,US,5,1,CA,0,0,1,5,2,1,0.9072651607783122,6
5591852,C,2007,17,6,m,4,4,,US,US,3,2,PA,0,0,2,3,6,1,-0.1133877527529985,4
5593417,C,2007,15,6,f,4,4,,US,US,3,5,CT,1,0,5,3,6,1,-0.3250066044333344,4
5595066,C,2007,29,5,f,6,6,,US,US,6,1,CT,1,0,1,6,5,1,0.174917200706078,6
5596549,C,2007,17,6,m,4,4,,.,.,NA,5,,0,NA,5,NA,6,1,0.560498532712634,4
5596672,C,2007,16,6,f,4,4,,US,US,3,4,IN,1,0,4,3,6,1,0.16856841522997806,4
5597992,C,2007,19,5,f,2,2,,US,US,4,6,FL,1,0,6,4,5,1,-0.7007984343267768,2
5606331,C,2007,25,6,m,4,4,,US,US,7,1,TX,0,0,1,7,6,1,-0.2866759177685048,4
5610805,C,2007,30,6,m,4,4,,UK,ES,7,7,,0,1,7,7,6,1,-0.35833322382025773,4
5613880,C,2007,42,6,f,7,7,,UK,UK,6,6,,1,1,6,6,6,1,0.9661640589556204,7
5615525,C,2007,46,6,m,6,6,,CA,UK,13,4,,0,1,4,10,6,1,0.24808956900880605,6
5617829,C,2007,18,6,f,4,4,,US,US,5,6,WI,1,0,6,5,6,1,0.2348294073863607,4
5638856,C,2007,18,6,m,5,5,,US,US,4,7,SD,0,0,7,4,6,1,0.00445400011808561,5
5643045,C,2007,18,2,f,6,6,,KR,US,3,4,PA,1,1,4,3,2,1,0.31728933073549986,6
5643420,C,2007,18,5,m,3,3,,US,US,5,6,GA,0,0,6,5,5,1,-0.49659420700113754,3
5650787,C,2007,43,8,f,1,1,,US,US,6,4,MN,1,0,4,6,8,1,-0.21748276234330394,1
5650890,C,2007,22,6,f,4,4,,US,nu,6,3,MO,1,0,3,6,6,1,0.2913843305563998,4
5651889,C,2007,28,6,m,4,4,,US,US,5,5,UT,0,0,5,5,6,1,0.784077153950008,4
5652505,C,2007,16,6,m,7,7,,US,US,3,2,AL,0,0,2,3,6,1,0.9723019833044535,7
5653117,C,2007,13,5,m,7,7,,US,US,2,4,PA,0,0,4,2,5,1,0.21937437207304938,7
5653778,C,2007,59,6,m,5,5,,US,US,7,7,WA,0,0,7,7,6,1,0.45042230938156086,5
5655062,C,2007,NA,NA,.,4,4,,.,.,NA,NA,,NA,NA,NA,NA,NA,1,0.2456683916105873,4
5656377,C,2007,32,6,m,4,4,,US,US,7,6,PA,0,0,6,7,6,1,0.42065578118729646,4
5656989,C,2007,38,6,f,5,5,,US,US,5,5,OR,1,0,5,5,6,1,-0.9571429752672556,5
5657258,C,2007,26,6,f,4,4,,US,US,10,4,MN,1,0,4,10,6,1,0.3562298899856011,4
5659815,C,2007,56,6,f,6,6,,US,US,14,6,IL,1,0,6,9,6,1,0.48494298024362015,6
5663505,C,2007,20,9,m,3,3,,US,US,7,6,CA,0,0,6,7,9,1,-0.12221069043663584,3
5663751,C,2007,75,6,f,5,5,,US,US,7,6,WA,1,0,6,7,6,1,0.6579011977924006,5
5665463,C,2007,20,8,m,5,5,,CA,CA,5,5,,0,1,5,5,8,1,0.9907297923627356,5
5667475,C,2007,22,6,m,4,4,,US,US,5,4,CA,0,0,4,5,6,1,-0.5964251361468251,4
5676924,C,2007,14,5,m,4,4,,US,US,3,4,MI,0,0,4,3,5,1,0.22346462758623012,4
5678639,C,2007,21,6,f,4,4,,CA,CA,5,4,,1,1,4,5,6,1,0.6369119002347736,4
5679481,C,2007,24,6,f,4,4,,US,US,8,7,WA,1,0,7,8,6,1,0.13480746948973596,4
5680370,C,2007,25,2,m,4,4,,US,US,8,4,CA,0,0,4,8,2,1,0.42887795770025544,4
5684218,C,2007,58,6,m,4,4,,US,US,10,2,MN,0,0,2,10,6,1,0.2717858102620052,4
5686918,C,2007,53,5,f,1,1,,US,US,8,3,UT,1,0,3,8,5,1,-0.3046087362424706,1
5687128,C,2007,19,6,f,4,4,,US,US,4,4,MT,1,0,4,4,6,1,-0.22201725231103547,4
5688807,C,2007,35,6,f,4,4,,US,US,5,1,ID,1,0,1,5,6,1,-0.43025389402167313,4
5692827,C,2007,40,6,m,4,4,,US,US,5,2,IL,0,0,2,5,6,1,0.3309032206409267,4
5697148,C,2007,21,6,f,5,5,,US,US,5,4,CA,1,0,4,5,6,1,0.48892659799638594,5
5697184,C,2007,22,6,f,4,4,,CA,CA,5,6,,1,1,6,5,6,1,0.18404646154000215,4
5697654,C,2007,30,8,f,4,4,,US,US,5,4,TX,1,0,4,5,8,1,0.7292596849528505,4
5702124,C,2007,25,6,m,4,4,,US,US,7,5,KS,0,0,5,7,6,1,0.6460945252189029,4
5709318,C,2007,34,6,m,4,4,,US,US,7,1,KY,0,0,1,7,6,1,0.5042484290423683,4
5709737,C,2007,29,6,f,4,4,,US,US,10,7,TN,1,0,7,10,6,1,0.2460544339581106,4
5711199,C,2007,18,6,m,5,5,,US,US,5,6,IL,0,0,6,5,6,1,0.03263530046929876,5
5711343,C,2007,20,6,m,4,4,,US,US,5,2,MN,0,0,2,5,6,1,0.2036543147451859,4
5713266,C,2007,30,9,m,3,3,,US,US,7,5,CA,0,0,5,7,9,1,-0.6585160306930711,3
5714734,C,2007,28,6,f,4,4,,US,US,5,7,OR,1,0,7,5,6,1,-0.04633270102906087,4
5718252,C,2007,37,6,f,4,4,,US,US,7,2,TX,1,0,2,7,6,1,0.00445327898222217,4
5718724,C,2007,20,6,f,4,4,,US,US,5,4,PA,1,0,4,5,6,1,0.8527529655795999,4
5720244,C,2007,16,6,m,5,5,,US,US,3,NA,UT,0,0,NA,3,6,1,0.5611349818662926,5
5723119,C,2007,19,4,m,4,4,,US,US,5,4,MI,0,0,4,5,4,1,1.1292805215600938,4
5724856,C,2007,16,6,m,7,7,,US,US,3,1,MI,0,0,1,3,6,1,0.20364402902573742,7
5726658,C,2007,18,6,f,4,4,,US,US,3,5,OK,1,0,5,3,6,1,0.49014661730388354,4
5728406,C,2007,21,6,f,5,5,,US,US,7,6,IL,1,0,6,7,6,1,0.16994345267433525,5
5730343,C,2007,21,6,f,6,6,,US,US,5,2,AR,1,0,2,5,6,1,0.6260431108391332,6
5731136,C,2007,21,6,f,4,4,,NO,NO,7,4,,1,1,4,7,6,1,0.265791989908542,4
5731945,C,2007,55,6,f,4,4,,US,US,5,4,KY,1,0,4,5,6,1,1.071710968389938,4
5738930,C,2007,24,6,f,6,6,,US,US,10,1,MO,1,0,1,10,6,1,0.9122471496863891,6
5739026,C,2007,21,6,f,3,3,,US,US,6,4,FL,1,0,4,6,6,1,0.33479793757065157,3
5739320,C,2007,20,6,f,4,4,,US,US,5,7,OH,1,0,7,5,6,1,1.160041559154767,4
5740802,C,2007,61,6,m,6,6,,US,US,5,6,IN,0,0,6,5,6,1,0.9252460507689633,6
5743630,C,2007,19,6,m,4,4,,US,US,5,5,MA,0,0,5,5,6,1,-0.33478840210644406,4
5743746,C,2007,19,6,f,7,7,,US,US,5,4,CA,1,0,4,5,6,1,0.18901548918765454,7
5744175,C,2007,36,7,f,4,4,,AF,US,5,6,SD,1,1,6,5,7,1,0.8335272889227047,4
5746911,C,2007,27,6,f,4,4,,US,US,5,2,IL,1,0,2,5,6,1,0.07263862856245666,4
5750325,C,2007,25,8,m,5,5,,US,US,8,2,TX,0,0,2,8,8,1,-0.09972714981048837,5
5752455,C,2007,17,6,f,4,4,,US,US,3,6,VA,1,0,6,3,6,1,0.23622178597875082,4
5752995,C,2007,19,6,f,5,5,,US,US,5,2,TX,1,0,2,5,6,1,0.41772761629498667,5
5754970,C,2007,17,6,f,4,4,,US,US,3,4,NY,1,0,4,3,6,1,-0.11701585491864656,4
5758571,C,2007,20,6,f,6,6,,US,nu,5,2,KY,1,0,2,5,6,1,0.8293484678631126,6
5758870,C,2007,52,5,f,1,1,,US,US,5,2,VA,1,0,2,5,5,1,-0.02493384597031008,1
5760907,C,2007,42,6,m,5,5,,US,US,14,6,NY,0,0,6,9,6,1,0.8797638605448397,5
5762502,C,2007,26,8,m,5,5,,CA,US,8,6,CA,0,1,6,8,8,1,-0.05363710319777423,5
5762596,C,2007,21,6,m,4,4,,US,US,5,4,WA,0,0,4,5,6,1,0.43457132823385825,4
5763659,C,2007,18,6,f,4,4,,US,US,3,7,NC,1,0,7,3,6,1,0.35527815087956827,4
5766012,C,2007,25,6,m,5,5,,US,US,5,3,GA,0,0,3,5,6,1,0.795285519168757,5
5769167,C,2007,19,NA,m,6,6,,nu,US,5,NA,OH,0,1,NA,5,NA,1,0.4679123052999724,6
5769412,C,2007,21,6,f,5,5,,US,US,5,6,PA,1,0,6,5,6,1,0.8331490655787641,5
5771427,C,2007,13,2,f,6,6,,US,US,2,1,FL,1,0,1,2,2,1,0.7418619411702999,6
5772704,C,2007,33,6,f,5,5,,NL,NL,9,7,,1,1,7,9,6,1,-0.17178964144238532,5
5786720,C,2007,NA,5,f,3,3,,US,.,5,2,MO,1,0,2,5,5,1,-0.313961521397106,3
5791786,C,2007,19,7,m,4,4,,US,US,5,7,NY,0,0,7,5,7,1,-0.5030503819742289,4
5792489,C,2007,31,6,m,4,4,,US,US,8,6,IL,0,0,6,8,6,1,0.6993684718835094,4
5806027,C,2007,21,4,f,3,3,,US,US,5,5,CA,1,0,5,5,4,1,-0.3628592666914682,3
5806372,C,2007,40,6,f,4,4,,US,US,10,5,VA,1,0,5,10,6,1,-0.21179341325412,4
5808902,C,2007,19,7,m,2,2,,US,US,5,7,VA,0,0,7,5,7,1,-0.27581840778261,2
5810721,C,2007,20,6,f,5,5,,US,US,5,5,MI,1,0,5,5,6,1,0.6408171993393296,5
5816886,C,2007,34,6,m,5,5,,US,US,5,2,PA,0,0,2,5,6,1,0.0031902917628168354,5
5817228,C,2007,20,6,f,5,5,,US,US,5,3,TN,1,0,3,5,6,1,0.7905128562587276,5
5819622,C,2007,26,6,f,4,4,,US,US,5,4,IL,1,0,4,5,6,1,0.9743497254640412,4
5823516,C,2007,17,6,m,4,4,,US,US,3,4,VT,0,0,4,3,6,1,0.6946669475620246,4
5823726,C,2007,18,6,f,4,4,,US,US,4,6,MN,1,0,6,4,6,1,1.007263899417902,4
5835880,C,2007,52,6,f,6,6,,UK,UK,9,3,,1,1,3,9,6,1,0.07251168491314455,6
5836267,C,2007,39,6,f,4,4,,US,US,5,4,IA,1,0,4,5,6,1,0.7138129469943679,4
5837700,C,2007,48,5,m,4,4,,US,US,7,6,MI,0,0,6,7,5,1,0.6797122342688546,4
5839460,C,2007,20,6,m,6,6,,US,US,6,4,,0,0,4,6,6,1,0.5552231083238124,6
5841759,C,2007,47,6,m,4,4,,CA,CA,5,3,,0,1,3,5,6,1,0.6769004757668293,4
5845304,C,2007,42,6,f,6,6,,US,US,5,3,CA,1,0,3,5,6,1,0.5543639974710922,6
5845938,C,2007,21,6,f,7,7,,US,US,5,6,SC,1,0,6,5,6,1,0.8646659667008849,7
5846730,C,2007,36,6,m,4,4,,US,US,5,4,UT,0,0,4,5,6,1,0.6303020947172626,4
5849574,C,2007,16,6,m,5,5,,US,US,3,5,CA,0,0,5,3,6,1,1.2156457756592518,5
5849743,C,2007,28,5,m,2,2,,US,US,7,5,,0,0,5,7,5,1,0.608390050171759,2
5851703,C,2007,16,6,f,4,4,,US,US,3,4,PA,1,0,4,3,6,1,0.2672530139298239,4
5851924,C,2007,17,3,m,4,4,,US,US,3,4,MD,0,0,4,3,3,1,0.12314054321825872,4
5854505,C,2007,17,6,m,4,4,,US,US,4,7,PA,0,0,7,4,6,1,-0.12480286512566988,4
5856028,C,2007,43,5,m,3,3,,US,US,5,3,NC,0,0,3,5,5,1,-0.17852415446548978,3
5866067,C,2007,22,6,f,4,4,,US,US,7,7,OH,1,0,7,7,6,1,-0.23906648439573142,4
5869267,C,2007,15,6,f,4,4,,US,US,3,2,VA,1,0,2,3,6,1,0.50514617007862,4
5869949,C,2007,25,6,m,7,7,,US,US,5,4,CA,0,0,4,5,6,1,0.8129478455680439,7
5874034,C,2007,40,5,m,4,4,,CA,CA,14,4,,0,1,4,9,5,1,0.029625954305417132,4
5876513,C,2007,51,6,f,4,4,,US,US,7,6,CA,1,0,6,7,6,1,0.763345150932862,4
5880185,C,2007,41,7,m,2,2,,ZA,ZA,12,6,,0,1,6,10,7,1,0.27669028153556835,2
5891539,C,2007,18,6,f,4,4,,US,US,5,4,NY,1,0,4,5,6,1,-0.13366084444281412,4
5892522,C,2007,13,6,f,4,4,,US,US,2,5,TX,1,0,5,2,6,1,0.4257687651268201,4
5893824,C,2007,23,6,f,4,4,,US,US,7,6,,1,0,6,7,6,1,-0.38916423580116105,4
5895088,C,2007,18,6,f,5,5,,US,US,5,5,MN,1,0,5,5,6,1,-0.015828794278559703,5
5895278,C,2007,16,5,f,4,4,,US,US,3,4,WI,1,0,4,3,5,1,0.4741028995413771,4
5903813,C,2007,20,6,f,4,4,,US,US,5,6,IA,1,0,6,5,6,1,0.636859962892183,4
5904175,C,2007,57,6,f,4,4,,US,US,9,7,MA,1,0,7,9,6,1,0.6668003011552308,4
5908187,C,2007,30,5,f,1,1,,US,US,5,4,GA,1,0,4,5,5,1,-0.3343739041271948,1
5912428,C,2007,18,6,m,4,4,,US,US,4,6,NJ,0,0,6,4,6,1,0.8799524115728947,4
5913779,C,2007,46,6,m,4,4,,US,US,9,2,CO,0,0,2,9,6,1,0.6161102425121368,4
5914397,C,2007,23,5,f,3,3,,US,US,5,2,SC,1,0,2,5,5,1,-0.7091495791787024,3
5918466,C,2007,18,6,m,6,6,,US,US,4,6,RI,0,0,6,4,6,1,0.4050125884309266,6
5919128,C,2007,30,5,f,7,7,,US,US,5,4,OH,1,0,4,5,5,1,0.49518961569243825,7
5923506,C,2007,25,6,m,5,5,,US,US,6,3,TX,0,0,3,6,6,1,0.5851065853517264,5
5923716,C,2007,26,9,f,4,4,,US,US,5,4,TX,1,0,4,5,9,1,0.5004357702948077,4
5924915,C,2007,21,6,m,5,5,,US,US,5,5,CA,0,0,5,5,6,1,1.1705646809782158,5
5927928,C,2007,37,5,m,1,1,,US,US,7,3,PA,0,0,3,7,5,1,-0.7146130254875653,1
5928204,C,2007,55,6,m,4,4,,US,US,12,2,MO,0,0,2,10,6,1,-0.12484391860352781,4
5930957,C,2007,25,6,m,4,4,,UK,UK,7,6,,0,1,6,7,6,1,-0.06730428748617506,4
5934628,C,2007,18,6,m,4,4,,US,US,3,2,,0,0,2,3,6,1,0.17441503933703095,4
5936043,C,2007,45,6,m,7,7,,US,KR,8,1,,0,0,1,8,6,1,0.5981617938808105,7
5936392,C,2007,18,2,m,4,4,,US,US,5,5,MI,0,0,5,5,2,1,1.0148292585514382,4
5937581,C,2007,19,8,f,4,4,,US,US,5,4,WA,1,0,4,5,8,1,0.4586235596919118,4
5947372,C,2007,50,6,m,4,4,,US,US,9,2,TN,0,0,2,9,6,1,0.859165267329582,4
5951356,C,2007,16,6,f,4,4,,US,US,3,4,CO,1,0,4,3,6,1,-0.10714702835926357,4
5951891,C,2007,41,6,f,5,5,,US,US,9,2,TN,1,0,2,9,6,1,0.019690734742631638,5
5953166,C,2007,53,6,m,7,7,,US,US,7,2,TN,0,0,2,7,6,1,-0.07501195792861404,7
5956323,C,2007,46,5,f,3,3,,US,US,5,2,NC,1,0,2,5,5,1,0.4315235176868023,3
5958072,C,2007,27,5,f,1,1,,US,US,5,6,MD,1,0,6,5,5,1,0.09280887250158036,1
5959947,C,2007,22,3,f,4,4,,US,US,7,4,CA,1,0,4,7,3,1,0.579923099669076,4
5960061,C,2007,18,6,m,7,7,,US,US,4,1,NY,0,0,1,4,6,1,1.0476174392578539,7
5960362,C,2007,19,3,m,6,6,,US,US,5,6,,0,0,6,5,3,1,0.27891669517625006,6
5961229,C,2007,48,6,m,7,7,,US,US,6,3,NY,0,0,3,6,6,1,0.4659129560381859,7
5962593,C,2007,65,6,f,3,3,,US,US,9,7,MS,1,0,7,9,6,1,0.5714427825982699,3
5964621,C,2007,18,2,m,3,3,,US,US,5,5,OR,0,0,5,5,2,1,0.3049043270622937,3
5967423,C,2007,25,6,m,4,4,,US,US,5,6,TN,0,0,6,5,6,1,0.09014250222443725,4
5976536,C,2007,31,6,m,5,5,,US,US,8,2,TX,0,0,2,8,6,1,0.8461327419447341,5
5976707,C,2007,73,6,m,4,4,,US,US,12,7,PA,0,0,7,10,6,1,-0.48151854226636304,4
5977105,C,2007,17,6,f,4,4,,US,US,3,4,WI,1,0,4,3,6,1,-0.2867747116379229,4
5977887,C,2007,19,2,f,6,6,,US,US,5,NA,,1,0,NA,5,2,1,0.04038681668434288,6
5978996,C,2007,17,6,f,6,6,,JP,US,3,3,WI,1,1,3,3,6,1,1.2881051075995924,6
5981030,C,2007,22,3,f,6,6,,IN,US,7,6,GA,1,1,6,7,3,1,0.5014456933814158,6
5981924,C,2007,50,6,f,5,5,,UK,UK,4,6,,1,1,6,4,6,1,-0.282404868631312,5
5984484,C,2007,16,3,m,4,4,,US,US,3,4,,0,0,4,3,3,1,0.8400045146951185,4
5985918,C,2007,42,6,m,5,5,,US,US,7,6,CA,0,0,6,7,6,1,0.8876213981818916,5
5986017,C,2007,17,5,m,4,4,,US,US,4,6,FL,0,0,6,4,5,1,-0.3814405532465403,4
5986292,C,2007,25,6,f,4,4,,.,.,NA,4,NY,1,NA,4,NA,6,1,0.39199315280757174,4
5991137,C,2007,47,6,m,5,5,,US,US,7,5,VA,0,0,5,7,6,1,0.5252404287945629,5
5991443,C,2007,52,6,f,4,4,,US,US,7,6,AL,1,0,6,7,6,1,-0.26491502344197254,4
5996005,C,2007,20,5,f,5,5,,US,US,5,5,TX,1,0,5,5,5,1,0.3031619731891403,5
5996070,C,2007,29,6,m,4,4,,US,US,5,2,IL,0,0,2,5,6,1,0.19177259216212666,4
5997353,C,2007,21,6,m,4,4,,US,US,5,2,TX,0,0,2,5,6,1,0.7286820409593892,4
5999824,C,2007,34,6,f,4,4,,.,.,NA,NA,,1,NA,NA,NA,6,1,1.0387536463654976,4
6001161,C,2007,28,6,f,5,5,,US,US,8,2,TN,1,0,2,8,6,1,0.7606529341229802,5
6004678,C,2007,31,6,f,4,4,,US,US,5,5,WV,1,0,5,5,6,1,-0.7395939302120905,4
6004679,C,2007,57,6,f,4,4,,US,US,6,2,TX,1,0,2,6,6,1,0.7878072780041302,4
6004842,C,2007,54,6,f,5,5,,CA,CA,13,4,,1,1,4,10,6,1,0.0538337627651479,5
6005347,C,2007,46,6,m,5,5,,US,US,6,1,MO,0,0,1,6,6,1,1.0754220220820394,5
6007987,C,2007,38,6,f,5,5,,US,US,6,2,MI,1,0,2,6,6,1,0.12928703044607745,5
6010260,C,2007,51,6,f,5,5,,US,US,5,3,IL,1,0,3,5,6,1,0.30059233766157306,5
6012856,C,2007,33,6,m,5,5,,US,US,7,4,VA,0,0,4,7,6,1,0.13582701850197115,5
6013509,C,2007,30,8,f,4,4,,US,US,6,6,AL,1,0,6,6,8,1,0.09609143534313938,4
6014889,C,2007,56,6,f,5,5,,US,US,7,4,MD,1,0,4,7,6,1,0.3134445616510392,5
6015257,C,2007,34,6,f,4,4,,US,US,5,1,PA,1,0,1,5,6,1,0.06252752556376028,4
6017740,C,2007,35,6,m,5,5,,US,US,7,2,TX,0,0,2,7,6,1,0.6253000242937014,5
6020469,C,2007,62,6,m,4,4,,US,US,8,4,TX,0,0,4,8,6,1,0.18180028868716608,4
6020687,C,2007,43,1,m,5,5,,US,US,4,4,KS,0,0,4,4,1,1,0.5033840623469746,5
6021471,C,2007,NA,NA,.,5,5,,.,.,NA,NA,,NA,NA,NA,NA,NA,1,0.3141106362605032,5
6022182,C,2007,50,6,f,4,4,,US,US,4,5,TX,1,0,5,4,6,1,0.46658552317979235,4
6022349,C,2007,29,6,f,4,4,,US,US,12,7,OK,1,0,7,10,6,1,-0.23428955292282774,4
6022678,C,2007,55,6,m,4,4,,US,US,14,5,GA,0,0,5,9,6,1,0.5453529208915586,4
6024702,C,2007,28,6,f,7,7,,US,US,7,2,TX,1,0,2,7,6,1,0.09169672034578209,7
6024707,C,2007,36,5,f,4,4,,US,US,6,4,PA,1,0,4,6,5,1,-0.06815641778410897,4
6024930,C,2007,68,6,m,5,5,,US,US,5,4,CO,0,0,4,5,6,1,0.70277474926363,5
6025021,C,2007,48,5,f,2,2,,US,US,5,6,DE,1,0,6,5,5,1,0.6505893404186645,2
